,precision,recall,f1-score,support
0,0.9354838709677419,0.9942857142857143,0.96398891966759,175.0
1,0.9790794979079498,1.0,0.9894291754756871,234.0
2,0.9358974358974359,1.0,0.9668874172185431,219.0
3,0.995049504950495,0.9710144927536232,0.9828850855745721,207.0
4,0.9678899082568807,0.9723502304147466,0.9701149425287356,217.0
5,0.9771428571428571,0.9553072625698324,0.9661016949152542,179.0
6,0.9553072625698324,0.9606741573033708,0.957983193277311,178.0
7,0.9609756097560975,0.9609756097560975,0.9609756097560975,205.0
8,0.9943181818181818,0.9114583333333334,0.9510869565217391,192.0
9,0.989247311827957,0.9484536082474226,0.968421052631579,194.0
accuracy,0.9685,0.9685,0.9685,0.9685
macro avg,0.9690391441095428,0.9674519408664141,0.9677874047567109,2000.0
weighted avg,0.9692797547887827,0.9685,0.9684402896362821,2000.0
