,precision,recall,f1-score,support
0,1.0,0.8228571428571428,0.9028213166144201,175.0
1,0.9956140350877193,0.9700854700854701,0.9826839826839827,234.0
2,0.8404669260700389,0.9863013698630136,0.907563025210084,219.0
3,0.8898678414096917,0.9758454106280193,0.9308755760368663,207.0
4,0.9805825242718447,0.9308755760368663,0.9550827423167849,217.0
5,0.9402173913043478,0.9664804469273743,0.953168044077135,179.0
6,0.8923076923076924,0.9775280898876404,0.9329758713136729,178.0
7,0.9371980676328503,0.9463414634146341,0.941747572815534,205.0
8,0.9573170731707317,0.8177083333333334,0.8820224719101124,192.0
9,0.9414893617021277,0.9123711340206185,0.9267015706806283,194.0
accuracy,0.933,0.933,0.933,0.933
macro avg,0.9375060912957045,0.9306394437054113,0.9315642173659221,2000.0
weighted avg,0.9373670461583181,0.933,0.932757870464283,2000.0
